,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
70,theta-fuel,tfuel,Theta Fuel,https://assets.coingecko.com/coins/images/8029/large/1_0YusgngOrriVg4ZYx4wOFQ.png?1553483622,0.346502,1838081894,71,,64764595,0.348981,0.332635,0.00282546,0.82213,20234391.0,1.1131,5301219200.0,5301200000.0,,0.68159,-49.1575,2021-06-09T06:50:55.818Z,0.00090804,38063.27186,2020-03-13T02:30:37.972Z,,2021-08-16T03:24:55.171Z
71,zcash,zec,Zcash,https://assets.coingecko.com/coins/images/486/large/circle-zcash-color.png?1547034197,153.71,1760127420,72,3222988280.0,347177894,156.07,141.03,7.38,5.04337,82815036.0,4.93737,11468448.7200506,21000000.0,21000000.0,3191.93,-95.19545,2016-10-29T00:00:00.000Z,19.75,676.3517,2020-03-13T02:20:55.002Z,,2021-08-16T03:25:08.057Z
72,helium,hnt,Helium,https://assets.coingecko.com/coins/images/4284/large/Helium_HNT.png?1612620071,18.23,1711649962,73,4061831654.0,40062229,18.51,16.52,1.48,8.85867,139259990.0,8.85658,93971876.269474,223000000.0,223000000.0,22.31,-18.58935,2021-05-28T17:33:24.441Z,0.113248,15937.24569,2020-04-18T00:19:10.902Z,,2021-08-16T03:24:53.921Z
73,xdce-crowd-sale,xdc,XDC Network,https://assets.coingecko.com/coins/images/2912/large/xdc-logo.png?1589242157,0.137906,1688431128,74,,12728878,0.148534,0.12904,-0.006184164535,-4.29187,-73016925.23888779,-4.14528,12238141964.0,37599520715.0,,0.153464,-10.08819,2021-08-12T05:44:18.515Z,0.00039532,34804.08449,2019-07-22T00:00:00.000Z,"{'times': 4.560577467318229, 'currency': 'eth', 'percentage': 456.0577467318229}",2021-08-16T03:25:10.983Z
74,blockstack,stx,Stacks,https://assets.coingecko.com/coins/images/2069/large/Stacks_logo_full.png?1604112510,1.5,1570160240,75,,48458148,1.52,1.36,0.098134,7.00376,97549118.0,6.62423,1052561461.68777,1818000000.0,,2.92,-48.92309,2021-04-05T13:34:27.931Z,0.04559639,3169.62956,2020-03-13T02:29:26.415Z,"{'times': 11.494139239833741, 'currency': 'usd', 'percentage': 1149.4139239833742}",2021-08-16T03:25:05.659Z
75,enjincoin,enj,Enjin Coin,https://assets.coingecko.com/coins/images/1102/large/enjin-coin-logo.png?1547035078,1.66,1547347456,76,1656101805.0,124373935,1.68,1.6,-0.003240745347,-0.19492,-14323607.24703598,-0.9172,934331121.3990188,1000000000.0,1000000000.0,3.94,-57.99374,2021-04-09T12:29:27.777Z,0.01865964,8775.94535,2017-11-12T00:00:00.000Z,,2021-08-16T03:24:54.249Z
76,qtum,qtum,Qtum,https://assets.coingecko.com/coins/images/684/large/qtum.png?1547034438,14.71,1525082642,77,,586482470,14.73,13.02,1.01,7.35107,109113305.0,7.70591,103651265.0,107822406.0,,100.22,-85.32406,2018-01-06T00:00:00.000Z,0.783142,1778.17907,2020-03-13T02:22:57.149Z,"{'times': 48.037495859060165, 'currency': 'usd', 'percentage': 4803.749585906016}",2021-08-16T03:25:02.603Z
77,yearn-finance,yfi,yearn.finance,https://assets.coingecko.com/coins/images/11849/large/yfi-192x192.png?1598325330,39757.0,1418009995,78,1457744917.0,248175682,40182.0,37741.0,-137.752499820475,-0.34529,-4701030.656689644,-0.33043,35666.565457642,36666.0,36666.0,90787.0,-56.2208,2021-05-12T00:29:37.713Z,31.65,125498.35481,2020-07-18T12:26:27.150Z,,2021-08-16T03:24:33.481Z
78,near,near,Near,https://assets.coingecko.com/coins/images/10365/large/near_icon.png?1601359077,3.25,1413403419,80,3252229446.0,67853136,3.3,3.05,0.02003065,0.61921,10134125.0,0.72218,434595234.675505,1000000000.0,1000000000.0,7.56,-56.92545,2021-03-13T17:49:31.011Z,0.526762,517.99832,2020-11-04T16:09:15.137Z,,2021-08-16T03:24:57.034Z
79,ravencoin,rvn,Ravencoin,https://assets.coingecko.com/coins/images/3412/large/ravencoin.png?1548386057,0.149374,1407724537,79,,142988346,0.154534,0.140645,0.00147812,0.99944,13444541.0,0.96426,9437840000.0,21000000000.0,,0.285218,-47.71992,2021-02-20T11:19:07.791Z,0.00893232,1569.35521,2020-03-13T02:30:00.004Z,,2021-08-16T03:24:35.912Z
